Case_Index,LLM_专业性,LLM_准确性,LLM_丰富度,LLM_可解释性,LLM_总分
164,100.0,100.0,100.0,100.0,100.0
29,100.0,100.0,100.0,100.0,100.0
7,80.0,50.0,100.0,100.0,82.5
190,60.0,0.0,80.0,80.0,55.0
71,40.0,10.0,60.0,60.0,42.5
63,100.0,100.0,100.0,100.0,100.0
58,80.0,100.0,100.0,100.0,95.0
36,80.0,40.0,100.0,100.0,80.0
189,80.0,80.0,100.0,100.0,90.0
27,60.0,0.0,80.0,80.0,55.0
174,60.0,0.0,80.0,80.0,55.0
140,100.0,100.0,100.0,100.0,100.0
23,40.0,0.0,60.0,60.0,40.0
152,80.0,80.0,100.0,100.0,90.0
109,100.0,100.0,100.0,100.0,100.0
9,20.0,0.0,60.0,40.0,30.0
8,60.0,100.0,80.0,100.0,85.0
24,60.0,0.0,80.0,80.0,55.0
56,80.0,100.0,100.0,100.0,95.0
60,20.0,0.0,40.0,40.0,25.0
